TITULO                                             | ID/SLUG                                  | URL
--------------------------------------------------------------------------------------------------------------------------------------------
DANNA: Tenemos que hablar - Un filme de Childstar  | danna-tenemos-que-hablar-un-filme-de-childstar | https://movidex.lat/danna-tenemos-que-hablar-un-filme-de-childstar/
Strike                                             | strike                                   | https://movidex.lat/strike/
El Contador                                        | el-contador-2                            | https://movidex.lat/el-contador-2/
Crónicas de Navidad 2                              | cronicas-de-navidad-2                    | https://movidex.lat/cronicas-de-navidad-2/
El genio y los deseos                              | el-genio-y-los-deseos                    | https://movidex.lat/el-genio-y-los-deseos/
Titan: El desastre de OceanGate                    | titan-el-desastre-de-oceangate           | https://movidex.lat/titan-el-desastre-de-oceangate/
Amigos De Armas                                    | amigos-de-armas                          | https://movidex.lat/amigos-de-armas/
La batalla de los malditos                         | la-batalla-de-los-malditos               | https://movidex.lat/la-batalla-de-los-malditos/
Dos hermanas                                       | dos-hermanas                             | https://movidex.lat/dos-hermanas/
Impacto                                            | impacto                                  | https://movidex.lat/impacto/
Los siete magníficos                               | los-siete-magnificos                     | https://movidex.lat/los-siete-magnificos/
Nahir                                              | nahir                                    | https://movidex.lat/nahir/
Lo mejor del mundo                                 | lo-mejor-del-mundo                       | https://movidex.lat/lo-mejor-del-mundo/
El castillo de arena                               | el-castillo-de-arena                     | https://movidex.lat/el-castillo-de-arena/
Dímelo bajito                                      | dimelo-bajito                            | https://movidex.lat/dimelo-bajito/
Mi pobre angelito                                  | mi-pobre-angelito                        | https://movidex.lat/mi-pobre-angelito/
Henry Danger: La Película                          | henry-danger-la-pelicula                 | https://movidex.lat/henry-danger-la-pelicula/
Larissa: La otra cara de Anitta                    | larissa-la-otra-cara-de-anitta           | https://movidex.lat/larissa-la-otra-cara-de-anitta/
Turbo                                              | turbo                                    | https://movidex.lat/turbo/
Hatching: Cría siniestra                           | hatching-cria-siniestra                  | https://movidex.lat/hatching-cria-siniestra/
Mi Abuela es un Peligro                            | mi-abuela-es-un-peligro                  | https://movidex.lat/mi-abuela-es-un-peligro/
El Principito                                      | el-principito                            | https://movidex.lat/el-principito/
Until Dawn: Noche de terror                        | until-dawn-noche-de-terror               | https://movidex.lat/until-dawn-noche-de-terror/
Diabólica tentación                                | diabolica-tentacion                      | https://movidex.lat/diabolica-tentacion/
KND: Los chicos del barrio                         | knd-los-chicos-del-barrio                | https://movidex.lat/knd-los-chicos-del-barrio/
Aliens: El Regreso                                 | aliens-el-regreso                        | https://movidex.lat/aliens-el-regreso/
Te veo                                             | te-veo                                   | https://movidex.lat/te-veo/
Colombiana                                         | colombiana                               | https://movidex.lat/colombiana/
Como si fuera la primera vez                       | como-si-fuera-la-primera-vez             | https://movidex.lat/como-si-fuera-la-primera-vez/
Parker                                             | parker                                   | https://movidex.lat/parker/
Tierras perdidas                                   | tierras-perdidas                         | https://movidex.lat/tierras-perdidas/
Vikingos                                           | vikingos-2                               | https://movidex.lat/vikingos-2/
